Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
rajan,1604059664610,3,111371,107463,334114,1.6666666666666667,2,3,5,8,227,SUCCESS,334114,yWRIE9GYR_mmAzdeWl8KgQ,
ChickenDance,1603488651448,3,112064,109487,336192,4.0,1,11,12,14,228,SUCCESS,336192,ynvdYFmAQlSWOyfHgj_swg,
BaadalVeer,1604092537147,3,112427,105444,337281,5.333333333333333,1,15,16,11,229,SUCCESS,337281,XMz8vSTRRJGDzJoCdJG4jQ,
DdBG,1603920075599,3,112528,105618,337585,5.333333333333333,0,16,16,5,230,SUCCESS,337585,8p3-HLb2SiinDSxGmltsjg,
Yashar,1604091680259,3,112534,99638,337604,11.0,1,32,33,9,231,SUCCESS,337604,MyusyC1BTwuBK-ueHpocmA,
josephnba1992,1603711099399,3,112727,110627,338181,11.0,3,30,33,33,232,SUCCESS,338181,2Iis5ZKwRU-3zrqN-qXwrg,
RunForrestRun2427,1603375468032,3,113443,109270,340330,5.666666666666667,3,14,17,1,233,SUCCESS,340330,q93DjQ5dT7ajMHJHKdANdw,
Frank,1603874628093,3,113732,105643,341198,2.3333333333333335,2,5,7,3,234,SUCCESS,341198,Pk8aU7ZFRrqS3yx8GFa_4A,
vamshikatroje,1603865299221,3,113866,97276,341600,3.3333333333333335,0,10,10,4,235,SUCCESS,341600,NqEnQeCkSqafTEA_aRGinw,
NEro,1602333935234,3,113942,108708,341826,3.6666666666666665,1,10,11,1,236,SUCCESS,341826,T6lygHw5RGKdnXhQBRRXUw,
Design4TeamNagakari,1603984796253,3,114284,82429,342853,15.333333333333334,2,44,46,5,237,SUCCESS,342853,g_WxPih6RxKzB8Oq7hwUSQ,
Vishalakshi,1604145641553,3,114441,104590,343325,6.0,2,16,18,1,238,SUCCESS,343325,jttRmqtrSlyFWX7sRWQE6g,
Kirruz2021,1603980762688,3,114538,104703,343614,3.6666666666666665,1,10,11,5,239,SUCCESS,343614,DKXCPZp5T3KXM-nOCwP_rg,
domenico,1603995337733,3,114734,107176,344203,6.666666666666667,2,18,20,1,240,SUCCESS,344203,qCU1jXd-RF-BYi1SWl0trw,
provamodello,1604013769632,3,114889,106491,344669,4.333333333333333,2,11,13,8,241,SUCCESS,344669,1wQr3IyHSPqWm2QBt-9Ngg,
BizIntegral,1601862126050,3,115052,100084,345156,3.0,1,8,9,9,242,SUCCESS,345156,4nUbIXTuTiqjYpxEpo0tNw,
JeepRacer,1603361813839,3,115138,112527,345415,4.333333333333333,1,12,13,4,243,SUCCESS,345415,h9UjjgapRWG20q_RtfB0Cw,
Vinay-getsetgo,1604127552141,3,115220,110063,345661,6.0,3,15,18,6,244,SUCCESS,345661,wBibBjC0RR2jbk3yTJnD6g,
ethanlee,1603704546844,3,115471,106491,346413,8.0,2,22,24,19,245,SUCCESS,346413,PTl5-D8eQGe-fhz5imT5rA,
AdiAppFabric-Race1,1603996985204,3,115971,109411,347914,3.0,1,8,9,2,246,SUCCESS,347914,We30VI4pQES2XfjGPJX7kw,
Pandemonium,1603719683765,3,116064,104239,348193,12.0,2,34,36,3,247,SUCCESS,348193,QQ9IJzlTQBefiglLZBriWA,
RKRacer,1604152970876,3,117207,99548,351623,15.0,3,42,45,17,248,SUCCESS,351623,Y1zjTNJNQnygKU2xj-F4mQ,
KimiRaikkonenAlfaRomeo,1603885894773,3,117332,110013,351997,5.333333333333333,0,16,16,7,249,SUCCESS,351997,sOALZ0i6TzSpQ9ruuwYAHg,
leolioness1,1604053877908,3,117338,89627,352016,14.0,3,39,42,1,250,SUCCESS,352016,ZcTgMEmbT3SeDnQipBHrKg,
ADS,1603842646396,3,117622,109138,352867,12.666666666666666,4,34,38,17,251,SUCCESS,352867,Ri260_CDQdCuuujUZJ5shA,
racetolearn,1603899826875,3,117723,106663,353169,5.333333333333333,3,13,16,2,252,SUCCESS,353169,eC-M05K_Rx2yyZf1R5cBuw,
Cheetah1008,1604056854651,3,117794,103350,353384,5.333333333333333,3,13,16,2,253,SUCCESS,353384,OKhTn6dWRyy7-q12764TUg,
KaiquanMah,1604187569267,3,118239,105175,354717,4.333333333333333,2,11,13,6,254,SUCCESS,354717,eE9JZEWQTV2uOp_YhqJ91w,
RoboBrain,1602491281247,3,118353,116192,355059,3.3333333333333335,1,9,10,5,255,SUCCESS,355059,XTxaU8xdSCykK6cnn4nRBg,
Sparky100,1604104243421,3,119053,112294,357161,14.333333333333334,1,42,43,4,256,SUCCESS,357161,dB7ZhAfrTF25dqNKlok7gw,
AWSModel04,1603452192369,3,119083,106156,357249,5.666666666666667,1,16,17,2,257,SUCCESS,357249,HwMp-c-fR5WbwW8-AlAR4A,
Accenture-Jawad-Shashank,1604036341504,3,119088,115129,357265,3.3333333333333335,2,8,10,7,258,SUCCESS,357265,eVbPg9WETEeFT6Vg75b-TQ,
TheFabulousAbney,1603308471274,3,119430,94882,358290,5.666666666666667,3,14,17,14,259,SUCCESS,358290,IXUK49tpQSub6Hh37QPwdw,
Rodrigo,1604184929436,3,119464,103130,358393,13.666666666666666,3,38,41,3,260,SUCCESS,358393,LWZGy3hmRqiN9FdzuKgB1w,
Ramki,1603247495926,3,119526,115197,358580,6.333333333333333,3,16,19,13,261,SUCCESS,358580,oENZZRTrTSGzyHSXX6Ixow,
golu,1602698585262,3,120115,108825,360346,5.666666666666667,4,13,17,1,262,SUCCESS,360346,XeZBCT0OTNCcJijP3EYpkw,
SupriyaJain-DeepRacer,1603905058480,3,120180,105093,360540,4.666666666666667,0,14,14,6,263,SUCCESS,360540,4JAacxmeR5qkHZGseLTtRg,
wvueagle,1602606624707,3,120724,117182,362173,6.333333333333333,1,18,19,5,264,SUCCESS,362173,wypqBds0S2--khU6GZqFHw,
ProteusXplorer,1603371107095,3,120860,112163,362580,10.666666666666666,3,29,32,1,265,SUCCESS,362580,iRqwbBoKQY-tP2tGpIMlxA,
DeepRacingStar,1604076429731,3,120890,105412,362671,4.333333333333333,1,12,13,1,266,SUCCESS,362671,xJZ8Ua6bTHKW8lecxPG4_A,
SiyonaJain,1602700423151,3,121115,107765,363347,5.0,1,14,15,2,267,SUCCESS,363347,B8gLMG1sRn6EK5Dm95Grgw,
ashnashahgrover,1602789671703,3,121198,106369,363594,6.666666666666667,2,18,20,3,268,SUCCESS,363594,3YALVfU8Q0mTGCGMIC-HEQ,
Spikey152,1603901714062,3,121293,119292,363879,3.6666666666666665,2,9,11,2,269,SUCCESS,363879,S7qcVzycSby4mTGW1VreyA,
TESTEVAL,1603408290286,3,121421,116854,364265,2.3333333333333335,2,5,7,21,270,SUCCESS,364265,JpWCumBlSZmNmZr9O5zdkQ,
Bego310,1604148153733,3,121643,116537,364931,14.666666666666666,6,38,44,5,271,SUCCESS,364931,VzVc4kzhRuywZPKnFEzBhQ,
smritib,1603289387369,3,121742,107211,365227,4.333333333333333,2,11,13,1,272,SUCCESS,365227,ul2uG0B8TESAuyfn17PrOQ,
rkcdeepracer,1603275111234,3,122120,111448,366361,3.3333333333333335,2,8,10,1,273,SUCCESS,366361,Vm7Ct9s1QXy6O1wfErlGYg,
WSP-DPC,1603577017796,3,122248,114076,366745,8.666666666666666,1,25,26,2,274,SUCCESS,366745,01LeONxcS5ybV47hpnFflQ,
Mattics-Run,1603393212499,3,122352,114418,367057,6.666666666666667,1,19,20,6,275,SUCCESS,367057,SG4udpr7TwqQEw5mJWiVGQ,
Group66,1602079252873,3,122385,106093,367155,11.666666666666666,4,31,35,5,276,SUCCESS,367155,VS-GkoDuR9OH9Ls5vVumAA,
ToshiMtFuji,1604081456788,3,123115,94863,369347,11.0,3,30,33,3,277,SUCCESS,369347,BqdOiZCiQ9ukLpOe-ipBPA,
TheMountain,1603536408315,3,123374,100498,370124,6.0,2,16,18,4,278,SUCCESS,370124,6XjvQ1p0TOKel6mU4wk4yA,
DigitalMercury,1603326060730,3,123433,109992,370301,5.333333333333333,1,15,16,1,279,SUCCESS,370301,gabTjdwrTRSAKJrSt3FjsQ,
Adithyavarkuri,1603198062387,3,123526,117441,370579,7.0,1,20,21,2,280,SUCCESS,370579,exat0sLEShirZy1j3NIDGA,
SpeedyLudvig,1602238749615,3,124089,108114,372269,13.666666666666666,4,37,41,1,281,SUCCESS,372269,lRUilckVRWmfuAJycwheAg,
DhirajAMishra,1603794431720,3,124216,117229,372650,7.0,1,20,21,5,282,SUCCESS,372650,uMB1kbSqQc-QsO6fHOSZ2A,
Autonomous-Niharika,1604128028952,3,124304,114507,372913,12.666666666666666,5,33,38,1,283,SUCCESS,372913,RYiGKklEQs-I2TRpGCc2Rw,
Schumi1,1603474542377,3,124316,121863,372950,6.0,1,17,18,1,284,SUCCESS,372950,RjyJEtuBTXS1NR9OQiEzeA,
tarunesh,1604147143946,3,124365,119583,373096,14.0,3,39,42,4,285,SUCCESS,373096,4AAf3v14Q5er7tPuom0uqg,
chethanthegreat,1603056899941,3,124476,114978,373428,4.333333333333333,2,11,13,12,286,SUCCESS,373428,eyLqrFcrTv2LVVDSsCiHng,
AutoBOT,1603257187558,3,125191,118945,375574,6.333333333333333,1,18,19,1,287,SUCCESS,375574,AN9oV-1_SKeKI5ZuFpv5Fw,
dozieInFirst,1603750452714,3,125384,107593,376152,5.666666666666667,2,15,17,5,288,SUCCESS,376152,kHi1b0KKSbyJ29pm07_KqQ,
Robert-Tyssen,1604057484152,3,125466,116241,376399,14.666666666666666,3,41,44,1,289,SUCCESS,376399,IoO1xa-qR-SPRFU2CM7zYg,
SMYKsMagicBullet,1602666201490,3,126386,117336,379160,15.666666666666666,5,42,47,2,290,SUCCESS,379160,wTnQCBkoSjW51_oT4lP6ag,
Polina,1603830327701,3,126702,125945,380107,5.0,1,14,15,4,291,SUCCESS,380107,a6XpmO5WS5mtvG1D2eP7RA,
Tapan001,1603811543811,3,126934,119181,380802,7.333333333333333,1,21,22,1,292,SUCCESS,380802,TjLmRST_TYyMbUR27nAN5w,
Sonicracer,1601624188880,3,127330,114098,381991,6.333333333333333,0,19,19,1,293,SUCCESS,381991,S16WZE-fRuuMjKxVBZ5xSw,
Racer99,1603731896584,3,127411,110035,382233,15.0,5,40,45,2,294,SUCCESS,382233,HlmmWkQpSweAqWLVdLuhRw,
Vox,1604105136242,3,127819,120351,383458,6.333333333333333,1,15,19,10,295,SUCCESS,383458,Qm67_20QThifd9rp613Z1A,
lokideepracer,1603268733843,3,128235,106942,384705,13.666666666666666,3,38,41,11,296,SUCCESS,384705,IIkygUVvSkiAa213oYB-IQ,
KCHERMAN,1603331173622,3,129732,119627,389197,4.0,3,9,12,1,297,SUCCESS,389197,Fee8v2Y7Q9SII0CIkrEBjQ,
xiaoxd,1602552617042,3,130405,112300,391216,7.0,2,19,21,1,298,SUCCESS,391216,svYshpyPRIaorxMd5IGMdQ,
BA,1603232731443,3,130763,121345,392289,6.333333333333333,3,16,19,1,299,SUCCESS,392289,KWuj2d2XQZGPR4ImwaiGoQ,
Dreamer823,1604040793615,3,130794,115654,392383,7.0,0,21,21,4,300,SUCCESS,392383,4wZFXUJsRTGj3_r3SUfe9w,
neibc,1603123579571,3,131048,117600,393145,17.333333333333332,2,50,52,1,301,SUCCESS,393145,80886b5506ed4127910fbw,
iRacer23,1603534664168,3,131323,123435,393969,6.0,2,16,18,1,302,SUCCESS,393969,1vnFDK8gR8GVPBFjIN7ViQ,
Juli032,1603430223624,3,131744,126398,395232,8.333333333333334,2,23,25,2,303,SUCCESS,395232,BLS1FrQuQfmqqQCnsHgpFw,
Herbie2020,1604089706768,3,131800,130628,395402,8.0,1,23,24,1,304,SUCCESS,395402,yi28sQmeRiOj00FaMA36cQ,
v1Tarantula,1603103832639,3,132033,120882,396101,6.333333333333333,3,16,19,2,305,SUCCESS,396101,jcCD1vd5Rv-nFSHlcKAGDg,
DirtRocket,1602657595023,3,133024,126831,399074,5.0,2,13,15,2,306,SUCCESS,399074,KofcK1YgTV2AfTNHvpVRZg,
