Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
Dataasana,1569806599993,74880,1210,SUCCESS,74880
tkabsw,1568381484976,75164,1211,SUCCESS,75164
littlemonsters,1568509155410,75168,1212,SUCCESS,75168
Darkobs,1569384765741,75171,1213,SUCCESS,75171
Dhanno,1569558922604,75440,1214,SUCCESS,75440
vlad,1568061209914,75513,1215,SUCCESS,75513
Robert,1569361214369,75513,1216,SUCCESS,75513
testtest,1567665798742,75528,1217,SUCCESS,75528
theSpeed,1569578651585,75562,1218,SUCCESS,75562
Fazal-League,1569433414363,75616,1219,SUCCESS,75616
nighthawk,1567873517756,75913,1220,SUCCESS,75913
fighur,1568668990034,76011,1221,SUCCESS,76011
Supreme-Racer,1568274650171,76051,1222,SUCCESS,76051
Khalil-Henchi,1569850711096,76105,1223,SUCCESS,76105
kunimasa-test-1,1568373382592,76119,1224,SUCCESS,76119
HawkEye,1568882475773,76130,1225,SUCCESS,76130
mdk-br,1567351815826,76255,1226,SUCCESS,76255
guru,1568306388277,76291,1227,SUCCESS,76291
DavivIsHere,1567369968008,76385,1228,SUCCESS,76385
Meliuz,1569234288332,76507,1229,SUCCESS,76507
doop,1568046729215,76670,1230,SUCCESS,76670
savics,1569228330553,76756,1231,SUCCESS,76756
reek,1567533002447,76818,1232,SUCCESS,76818
RidhamDave,1568352418851,76902,1233,SUCCESS,76902
Trial2,1567992112983,77013,1234,SUCCESS,77013
PANOS10,1569413340115,77106,1235,SUCCESS,77106
SpartaV3,1568391100754,77122,1236,SUCCESS,77122
pleyades01,1569448514404,77185,1237,SUCCESS,77185
testgabe1,1568140839762,77475,1238,SUCCESS,77475
aapjeisbaas,1569524067962,77501,1239,SUCCESS,77501
Sudujr12,1569768061284,77789,1240,SUCCESS,77789
LeeWarnock,1569795331587,77834,1241,SUCCESS,77834
Ubiq10,1568188379269,78047,1242,SUCCESS,78047
njs,1568645665818,78128,1243,SUCCESS,78128
mokomichi,1569736137699,78228,1244,SUCCESS,78228
Mohamad-Alissa,1567979068858,78589,1245,SUCCESS,78589
humair,1569611963891,78633,1246,SUCCESS,78633
jamestrada,1569887940907,78662,1247,SUCCESS,78662
MurayanSST,1568185767739,78727,1248,SUCCESS,78727
TigerRising123,1567405699302,78893,1249,SUCCESS,78893
wxsvroom,1567743614925,78905,1250,SUCCESS,78905
lquiros96,1568992006085,78917,1251,SUCCESS,78917
saint0seya,1569842863797,79072,1252,SUCCESS,79072
MyNameTaken,1568411943408,79105,1253,SUCCESS,79105
wondabli,1567559666052,79117,1254,SUCCESS,79117
NowThisIsPodRacing,1567559397059,79147,1255,SUCCESS,79147
super-racer-hai,1567436322854,79379,1256,SUCCESS,79379
ZeratuuLL,1568880650625,79491,1257,SUCCESS,79491
LoefRacer,1568408726390,79604,1258,SUCCESS,79604
CaptStephan,1569861027345,79677,1259,SUCCESS,79677
HISYS-Mujiko-Muihan,1568938202845,79684,1260,SUCCESS,79684
LegibleFire210,1569377192432,79814,1261,SUCCESS,79814
Waddell,1569296024620,79856,1262,SUCCESS,79856
abhitnc,1567586626330,79870,1263,SUCCESS,79870
ALOzoomie,1568763037050,79979,1264,SUCCESS,79979
Darko178,1569735170672,80102,1265,SUCCESS,80102
run1,1568836245603,80106,1266,SUCCESS,80106
Nonamenonami,1568465370143,80141,1267,SUCCESS,80141
lee-warnock,1569112183150,80156,1268,SUCCESS,80156
formulas1-racing,1568059979263,80287,1269,SUCCESS,80287
Johnm212,1568317275718,80314,1270,SUCCESS,80314
DSWTeam,1569038740774,80680,1271,SUCCESS,80680
bijoy,1568307314862,80845,1272,SUCCESS,80845
amanpreetsingh459-AWS-DeepRacer-2019,1568530208981,80960,1273,SUCCESS,80960
eval-test,1567563800831,81087,1274,SUCCESS,81087
aich-shubhra,1569699575436,81359,1275,SUCCESS,81359
Kaizen,1567803165654,81386,1276,SUCCESS,81386
Mamadou,1569859200478,81407,1277,SUCCESS,81407
team-12-krish,1569887487525,81491,1278,SUCCESS,81491
OscaRace,1568520018959,81558,1279,SUCCESS,81558
ComboXLE,1568108517520,81982,1280,SUCCESS,81982
Peshi02,1568771269186,82163,1281,SUCCESS,82163
Swarup,1569878778776,82203,1282,SUCCESS,82203
durga,1569524029842,82278,1283,SUCCESS,82278
sydlee,1569420074444,82365,1284,SUCCESS,82365
Videogamequeen,1567629283726,82412,1285,SUCCESS,82412
Both119,1569878092981,82431,1286,SUCCESS,82431
dk-test,1569783926744,82556,1287,SUCCESS,82556
dhoom1,1568369737755,82869,1288,SUCCESS,82869
deepracer-learner,1569414163383,82970,1289,SUCCESS,82970
lsj-33a,1569773457508,83196,1290,SUCCESS,83196
testracer,1567954526692,83283,1291,SUCCESS,83283
andremald,1569410258808,83961,1292,SUCCESS,83961
fazer47,1568024305710,84019,1293,SUCCESS,84019
Run1975,1568083107970,84119,1294,SUCCESS,84119
D-Engine,1569512747851,84208,1295,SUCCESS,84208
ShibeCar,1569876302209,84454,1296,SUCCESS,84454
sunwukong,1568101060059,84649,1297,SUCCESS,84649
Namory,1567416216884,84718,1298,SUCCESS,84718
Projectalpha,1568535848681,85260,1299,SUCCESS,85260
ai-solutions,1568044861139,85353,1300,SUCCESS,85353
stansSuperSlowRacer,1568747473650,86082,1301,SUCCESS,86082
Raga,1569425969568,86092,1302,SUCCESS,86092
AWSSpeedRacer,1568048497818,86540,1303,SUCCESS,86540
Ashish007,1569782569202,86642,1304,SUCCESS,86642
Udacity-Team,1568505512644,86982,1305,SUCCESS,86982
GbolaRacer,1569350772797,88444,1306,SUCCESS,88444
Wylberth,1569378431860,88785,1307,SUCCESS,88785
keitas2001,1568702696834,89003,1308,SUCCESS,89003
HondaCivic,1569177693282,89113,1309,SUCCESS,89113
race0728,1568893428094,89627,1310,SUCCESS,89627
boom,1567344470711,90178,1311,SUCCESS,90178
mmakatri,1569878926436,90478,1312,SUCCESS,90478
V-for-Vaggelis,1569596270689,90632,1313,SUCCESS,90632
agnibho8,1568834650154,90809,1314,SUCCESS,90809
cheehau-tesla,1569564658515,91109,1315,SUCCESS,91109
racerboy,1567567332075,91481,1316,SUCCESS,91481
model19091301,1568387878388,91793,1317,SUCCESS,91793
3c22c15e725b,1569462940870,92319,1318,SUCCESS,92319
flovalen,1567664380148,92938,1319,SUCCESS,92938
JackTest11,1568271918223,94474,1320,SUCCESS,94474
ayushgup,1569575381241,95017,1321,SUCCESS,95017
redtron,1569388516679,95050,1322,SUCCESS,95050
Lawga,1569880890135,95283,1323,SUCCESS,95283
eladprager,1568120737532,96415,1324,SUCCESS,96415
roodresharma,1569414173575,98199,1325,SUCCESS,98199
MstarLeague,1568748877072,98968,1326,SUCCESS,98968
ybbarc,1568549884137,99314,1327,SUCCESS,99314
20190911-firstvillage,1568194369050,100008,1328,SUCCESS,100008
Yuchen-Udacity,1569781221635,102391,1329,SUCCESS,102391
Baidgreat,1568677246502,104223,1330,SUCCESS,104223
MerryCar,1569351952219,104633,1331,SUCCESS,104633
Slalom-Ilan,1568406920536,113643,1332,SUCCESS,113643
eazydammy,1569625971636,118584,1333,SUCCESS,118584
Mr-Mohamed,1567805882384,142410,1334,SUCCESS,142410
SamazER,1567970977742,169266,1335,SUCCESS,169266
PlavaMultipla,1567307891824,552698,1336,SUCCESS,552698
TrevorPierce,1567923038817,574818,1337,SUCCESS,574818
goma,1567633600266,599273,1338,SUCCESS,599273
