Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
seshimarucar,1560834263374,62977,401,SUCCESS,62977
Tsumasakky,1560564456237,62979,402,SUCCESS,62979
SteveKasuya,1559826303203,62979,403,SUCCESS,62979
ak-zigzak,1561240450336,62981,404,SUCCESS,62981
go,1560315746225,62991,405,SUCCESS,62991
JasonGo,1560315530381,62994,406,SUCCESS,62994
RTR,1561749524050,62995,407,SUCCESS,62995
crazymeteor,1561435318811,62996,408,SUCCESS,62996
dan,1560577015876,62998,409,SUCCESS,62998
Adilo,1560218518921,63006,410,SUCCESS,63006
tada,1561955031116,63009,411,SUCCESS,63009
SAMURAI,1560492971922,63021,412,SUCCESS,63021
OnoPoteco,1561102866243,63022,413,SUCCESS,63022
AdeptusMechanicus,1560774700272,63027,414,SUCCESS,63027
Lost-Jarhead,1560343376530,63042,415,SUCCESS,63042
go-deep-racer,1561666856275,63065,416,SUCCESS,63065
RedArrow,1560518525585,63075,417,SUCCESS,63075
merry-go-around,1561527127194,63075,418,SUCCESS,63075
redcomet,1561531664474,63075,419,SUCCESS,63075
Michael-HK,1560959289651,63082,420,SUCCESS,63082
apython-ithaca,1560566841316,63084,421,SUCCESS,63084
Tian,1560434262756,63110,422,SUCCESS,63110
Peace-Saito,1560393186600,63112,423,SUCCESS,63112
angle-racer,1560820457278,63118,424,SUCCESS,63118
tokay-lab,1561789782606,63118,425,SUCCESS,63118
Rossi-le-Ross,1560457959729,63132,426,SUCCESS,63132
Model1,1561920275497,63136,427,SUCCESS,63136
BUFERA,1561525007355,63138,428,SUCCESS,63138
svenus,1561131055929,63145,429,SUCCESS,63145
Mudge,1560291648906,63154,430,SUCCESS,63154
KerneyAI,1561536200781,63157,431,SUCCESS,63157
GunjanDrivesFast,1560287622743,63166,432,SUCCESS,63166
YasuRacer,1560691393373,63172,433,SUCCESS,63172
OndraPopik,1560780715147,63179,434,SUCCESS,63179
MrPoTatoED,1561760930473,63186,435,SUCCESS,63186
Tatsuma,1561203583734,63204,436,SUCCESS,63204
isamu-jazz,1561736109283,63227,437,SUCCESS,63227
k-hamano,1560912872841,63238,438,SUCCESS,63238
Jake,1560953295780,63242,439,SUCCESS,63242
lolgein,1560437610219,63271,440,SUCCESS,63271
20190614-2341-1-nk,1560523086366,63284,441,SUCCESS,63284
ken-mu,1561187827437,63287,442,SUCCESS,63287
jrtipton,1560721013306,63291,443,SUCCESS,63291
airace-1906,1561534009296,63296,444,SUCCESS,63296
DudeWheresMyCar,1561472658488,63305,445,SUCCESS,63305
kazushisonoda,1560504571750,63313,446,SUCCESS,63313
Kwan,1561510955675,63315,447,SUCCESS,63315
GoTpaGO,1561477424459,63333,448,SUCCESS,63333
MrsTmhr,1560438997482,63340,449,SUCCESS,63340
hiko,1561270713184,63345,450,SUCCESS,63345
Rayson,1560326799368,63345,451,SUCCESS,63345
hainhl1,1560475853923,63363,452,SUCCESS,63363
toby-wu,1561545098384,63389,453,SUCCESS,63389
SamuTest1,1560758894705,63400,454,SUCCESS,63400
RockyDeepRacer,1561456019802,63405,455,SUCCESS,63405
koseki-k,1560287725874,63409,456,SUCCESS,63409
eiji-hayashi,1560473446165,63410,457,SUCCESS,63410
cmarrades,1560330141034,63418,458,SUCCESS,63418
TheHanSoloProject,1561685654273,63418,459,SUCCESS,63418
IndicareLeve,1561124158638,63439,460,SUCCESS,63439
Peter-RoboticsMasters,1560216058440,63451,461,SUCCESS,63451
aaaa,1560520698985,63454,462,SUCCESS,63454
Yu13110,1561103063428,63455,463,SUCCESS,63455
MasterOfSkunks,1561407622925,63458,464,SUCCESS,63458
HongKongSummit,1561536309853,63482,465,SUCCESS,63482
Legendkille4,1560132918247,63559,466,SUCCESS,63559
Santos,1561366707840,63584,467,SUCCESS,63584
Worg,1560849846392,63604,468,SUCCESS,63604
DayneRacer,1561137868250,63628,469,SUCCESS,63628
Null-Reference-Exception,1560533009643,63635,470,SUCCESS,63635
RoboSapiens,1560662567047,63641,471,SUCCESS,63641
julio-D2SI,1560350336696,63641,472,SUCCESS,63641
Teevra,1561529968955,63650,473,SUCCESS,63650
honotoso,1560752604990,63656,474,SUCCESS,63656
HigeMayuge,1560770424112,63736,475,SUCCESS,63736
alasynthe,1560493945161,63820,476,SUCCESS,63820
JRacer77,1561346410662,63825,477,SUCCESS,63825
hatunina,1560689790374,63906,478,SUCCESS,63906
Yasuhi526,1561031929921,63935,479,SUCCESS,63935
Tiamokiky,1560427832713,64175,480,SUCCESS,64175
jiahknee5,1561844922855,64316,481,SUCCESS,64316
Kapricosky,1560258981276,64537,482,SUCCESS,64537
FelixKC,1561557185546,64824,483,SUCCESS,64824
Senna,1559724645458,65550,484,SUCCESS,65550
fx,1559796939205,65565,485,SUCCESS,65565
d1ce1984,1559812309507,65593,486,SUCCESS,65593
RajeshVegi,1559956857235,65632,487,SUCCESS,65632
rejeanb-AWS-Canada-WWPS,1559704442948,65745,488,SUCCESS,65745
RacerBlue,1559596068010,65838,489,SUCCESS,65838
DwaynusJohnsonus,1560291338130,65880,490,SUCCESS,65880
RiteshB,1560199168141,65900,491,SUCCESS,65900
MV,1559665901931,65908,492,SUCCESS,65908
kelp,1560440022789,65942,493,SUCCESS,65942
hpuyang,1561535292197,65969,494,SUCCESS,65969
