Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
DeepRacerForTheWin,1574311096573,57821,672,SUCCESS,57821,a9f0db27a14e44fa909b6dc00b0e0489
giorgiazzo,1573742932536,58000,673,SUCCESS,58000,fc43a41d0fd6492bbe3dd2ed4a2bf0c2
tj,1573770838750,58476,674,SUCCESS,58476,2485b1919ae84761b3986062fe98f59d
ScruffyCarProductions,1573223304356,59610,675,SUCCESS,59610,b40de1c8e0834bb385e0ca5ce841c430
Y0da,1574320435259,61004,676,SUCCESS,61004,248e09c6e44442cea2f652e20e2fa228
PandoraMC,1573053056830,62990,677,SUCCESS,62990,a41286123fc9486fb4858a17a8a29562
Bo,1573842340620,63700,678,SUCCESS,63700,976f20ae85d6430ba8ad517bf1c8b9e1
Nil,1573230612390,66554,679,SUCCESS,66554,16fe300a9c9843d5b3c73b95cb297c57
Ktk17,1574048486883,66889,680,SUCCESS,66889,548886eb7a25450e84a7f1a8eed17c07
jimzers,1573781188272,66909,681,SUCCESS,66909,42304dea49d845908e15695b42d8a87a
MeanAverageJoe,1573653056724,66934,682,SUCCESS,66934,b8f99e0b362e4665bb6dab5e22db0316
Foody111,1573700234012,67115,683,SUCCESS,67115,a7aec862b51346a8aec6f575d55cee9b
gr,1574267584693,67140,684,SUCCESS,67140,e308d53fb8284c958b93a4d617df30e7
deepracer1,1573157326379,67170,685,SUCCESS,67170,ba899f3006694543ba89248ea9d46f3f
SianesRacer,1574073627088,67556,686,SUCCESS,67556,11698e02ad7e42d989b3d12160b3d371
Odin,1574860865676,67872,687,SUCCESS,67872,e0d69274fce64bcd9323acbf697835ca
The-Jackle,1574905787286,67875,688,SUCCESS,67875,a73ec79c4fad4541bbe11a1e277f51d9
Specialed29,1575151378350,67942,689,SUCCESS,67942,9abc73092380484fa3c514eaab7cd607
GracieDR,1574305020891,68429,690,SUCCESS,68429,69b9d2826a8f46a09a0ca0fcba4fcf75
RajTheKing,1574646218116,68613,691,SUCCESS,68613,f585f635b87349acad3b05affc9d56da
ColaRacer,1573766177282,68854,692,SUCCESS,68854,86643ab4ffac4e4e999ea0f52d482dc5
Logan1,1573771227712,68908,693,SUCCESS,68908,7bfc6ba0515249afad59867e6536caa5
Groncillions,1573759881819,69046,694,SUCCESS,69046,d43857759b79466498b0156627fe10fe
AI-Racer,1573643817293,69116,695,SUCCESS,69116,af9e6c361b104f8c9a08f2c0a8465118
VictorienAvon,1573327497473,69167,696,SUCCESS,69167,d980e55dc792475ba870880bf0a8dd18
Test4,1573071651389,69261,697,SUCCESS,69261,4cd1e7d818554e068be6fab205718e10
ManjuRace,1573662990286,69263,698,SUCCESS,69263,90625d6b3c624f6e98f32668968b4216
chicken,1574300254250,69323,699,SUCCESS,69323,5de0d77c486844e48802c5ee7d6ac781
markusheinemann,1573742559599,69323,700,SUCCESS,69323,9733d4ed2b8d483aae87e0d6e9673f75
leagueRacer123455,1574473892280,69422,701,SUCCESS,69422,b0adda736cf44b5196392d46d823de83
sbellanger,1573071027609,69443,702,SUCCESS,69443,5ffb90bd77b1471a858ada363664c9ee
dseq1234,1574115533459,69501,703,SUCCESS,69501,8325d87b4a034695bd82d2d2facbd702
Panthers,1573621972793,69512,704,SUCCESS,69512,c44b5b36eaac4643a7db93b7c8bf8b7e
pruebaaaaa,1573201180245,69516,705,SUCCESS,69516,1c20514bc5d441b4ad41c68bd6f8a797
Stelios,1573742265518,69523,706,SUCCESS,69523,bcbb572d20a744be98a5e41ba71affee
comet,1573559305752,69543,707,SUCCESS,69543,832d153d2ac84cae9cf47e0cdd509eff
smaug,1574797590313,69624,708,SUCCESS,69624,a45c7c824fea47249fff08b8e8792eb1
Zanna,1574274303571,69660,709,SUCCESS,69660,5511f517c76f463995dbab61737b9e77
mtfurlan,1573489789158,69665,710,SUCCESS,69665,7e9c74dd8e6c48718b212afd01e96c3a
MTD-168,1574268729903,69696,711,SUCCESS,69696,80547cf90e6a4df88549256b88e35f95
jidreva001,1573157393281,69738,712,SUCCESS,69738,890026fdf3274825a72c0068979ba4ee
sebkayatas,1574654155083,69760,713,SUCCESS,69760,daf41bef46a64c8cb7324728429645f8
FF,1573123931572,69790,714,SUCCESS,69790,30eb52d5757f4ef68189bce4a10eb674
NITRO,1574852281128,69865,715,SUCCESS,69865,6rajOEknRDCYuFWBXqIopA
JacoO,1573018927097,69874,716,SUCCESS,69874,e16d3311767f4943a33f8c75176afc84
varaprasad143,1573753555257,69899,717,SUCCESS,69899,88c037f91dd3485caeb0ca22dc961dd0
Caprius,1574154077079,69996,718,SUCCESS,69996,2452755ad581430f86b26bc7018e208b
etretiakova,1573692865581,70022,719,SUCCESS,70022,0bd111d2297b4515ba01b1c91de4d3d6
ishiishi,1573092365153,70023,720,SUCCESS,70023,d72488ae31ed48ae9e5c223930774fd3
ClintsTest,1574270788727,70036,721,SUCCESS,70036,8b7a44f14bec42f783702ec002dfdb39
BigDiggy2019,1575149690020,70196,722,SUCCESS,70196,4a64afb047254c69826cfaf3f4b59dc9
Alpaca9mm,1573768210342,70302,723,SUCCESS,70302,4286d32bba644f18925476e98772a2a5
w0nd3r,1573171333366,70320,724,SUCCESS,70320,13b21e8cf6f54dc38679945699c206bd
CheekooRacer,1573306033674,70376,725,SUCCESS,70376,4d5238b9799643b3baf00b87ffce4cc7
Qubito,1575119851846,70426,726,SUCCESS,70426,3ab0176b7b5d437fad47e1ea874e4a34
sk-deepracer-15,1573531862428,70575,727,SUCCESS,70575,5416cd5c1b9843e8a7d9a829cd53ed7b
PSB,1573584810934,70654,728,SUCCESS,70654,c1488a1982bf40cfb26972bd64c2178f
drzigzag,1574267629862,70726,729,SUCCESS,70726,3b9e4e7cae544564b2087992c44acba5
bousquet-racer,1573511849000,70780,730,SUCCESS,70780,d5111534c13a41e2b9583192ce566812
Dudsyyy,1575043502253,71090,731,SUCCESS,71090,462177671cd04907a8c7b582c573fa81
d,1573728765605,71139,732,SUCCESS,71139,0361d48c097e40bb99c92df6ed22b3ac
Cyberok,1573736273566,71148,733,SUCCESS,71148,d3552e487b954305943138c8a2f38d62
IndraneelCS,1573041752657,71228,734,SUCCESS,71228,41e90190b62145fab2f7894aa8f4ff10
sr,1574270454599,71320,735,SUCCESS,71320,ef50f42ecd9240b9b21fc991ba5d3971
Fish1,1574824815973,71371,736,SUCCESS,71371,a3684602bb174c108f24becef404b80c
bpc-mids,1573085929885,71425,737,SUCCESS,71425,0066d0471eed4227bc11f23942b1e796
apes,1573545157404,71476,738,SUCCESS,71476,c6806ed56ad042eb8acbb3593c38f8c2
GreenSolider,1573483685574,71531,739,SUCCESS,71531,c87e796b061f43198aa3997abacfa44d
hnd-yokohama,1573717407048,71612,740,SUCCESS,71612,46dc8ae072b44a6dab2f3bb3532c3f72
TL,1573731784201,71755,741,SUCCESS,71755,efb9beba4cd94234b78db5a79a1b6132
Masood,1573021757181,71840,742,SUCCESS,71840,bfd067e18a064df1b1b7a9f9dfec79f7
mtysonzigzag,1573757438079,71959,743,SUCCESS,71959,045249a12d3f415e939219b86dc71fd3
