Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
poonam1234,1601348701878,3,12722,10516,38167,0.6666666666666666,0,2,2,19,92,SUCCESS,38167,73ORdC5hRuKlOCoqdGiaZQ,
monk,1601213453408,3,12886,12448,38659,0.0,0,0,0,10,93,SUCCESS,38659,_KRtuyevQEub6xab-DG6HQ,
Delta,1600361849490,3,12886,12578,38659,0.0,0,0,0,118,94,SUCCESS,38659,Ht2QUlRZTQCegBUrLY-WWQ,
anuj-aggarwal,1601488174823,3,12949,10070,38847,1.3333333333333333,0,4,4,205,95,SUCCESS,38847,o_BkPc7jTK68tjHZiBRQEw,
Asumi,1600649409972,3,13075,12475,39227,0.0,0,0,0,21,96,SUCCESS,39227,Uh5qLLBPQ9-M4OuwSQJKpQ,
Lina,1599259870307,3,13446,11669,40338,0.6666666666666666,0,2,2,1,97,SUCCESS,40338,XeBgwELvQ_uvlo7ETeWk6w,
tekgrl,1600108776958,3,13491,13061,40473,0.0,0,0,0,20,98,SUCCESS,40473,aJlzgk6tQj-dSVl6x6tERg,
JPMC-Rogue-Hyderabad,1600070928127,3,13496,12393,40489,0.3333333333333333,0,1,1,20,99,SUCCESS,40489,LKdw_hyKTSu7moFuxbmiZw,JPMorgan Chase
SK-denso,1601503083288,3,13550,12418,40652,1.3333333333333333,0,4,4,3,100,SUCCESS,40652,xkC4DDGOSiuJlY62ZtcUyg,
Zane-L,1599390428936,3,13615,11541,40847,0.6666666666666666,0,2,2,2,101,SUCCESS,40847,A3fMDdcQSEi2gOFLgYy5dg,
Merfoulis,1601488557401,3,13645,12544,40936,0.3333333333333333,0,1,1,13,102,SUCCESS,40936,ZXo038NgQoikG6lL_A5fVQ,
Ruddy,1599839756217,3,13866,11853,41598,0.6666666666666666,0,2,2,27,103,SUCCESS,41598,Xok8O00YSeuAWvXTpG-YPg,
Tarun99,1600868452550,3,14034,12799,42104,0.3333333333333333,0,1,1,20,104,SUCCESS,42104,n1Jj8q-KTeuLAxB38cfkrw,
rmbQuickster,1600809096210,3,14057,12280,42171,1.6666666666666667,0,5,5,11,105,SUCCESS,42171,C8gRtvBoThK2LPjgCRaQQQ,
SatoT-MAINICHI,1601498114658,3,14147,11896,42441,0.6666666666666666,0,2,2,45,106,SUCCESS,42441,bDhGJlv-QKC0ekrFWhGwIg,
RomainjMiralles-Grab,1599014173276,3,14289,12998,42869,0.3333333333333333,0,1,1,1,107,SUCCESS,42869,hiiPYX0xS3KksCVlci4zLA,
ep-dr-racer1,1601427087423,3,14431,12405,43293,1.6666666666666667,0,5,5,222,108,SUCCESS,43293,vEZxFEnhQHeI5tKR4Tz3rQ,
Sugi-DBS,1599039882737,3,14441,12863,43323,1.3333333333333333,0,4,4,7,109,SUCCESS,43323,IiO8sUPHRhSnSpp8Sr3FGg,
SSB,1601396057984,3,14509,13523,43528,0.3333333333333333,0,1,1,5,110,SUCCESS,43528,hJY8hM0iQBqUj19j91bReQ,
JonathanHalim-DBS,1598940287344,3,14572,12394,43718,1.6666666666666667,0,5,5,7,111,SUCCESS,43718,lQWxtmerT1eouRgw9omvXA,
m0nkmaster,1600249744685,3,14582,13987,43748,0.0,0,0,0,1,112,SUCCESS,43748,Tk-rjz1CQ7yt525wm84YXg,
