Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
KannanJ,1599732982544,3,86746,82049,260240,8.333333333333334,0,25,25,1,434,SUCCESS,260240,kP1mtUwPTsKHUBIXEcyIxg,
MagixRacer,1600922172281,3,86770,84738,260310,2.3333333333333335,0,7,7,5,435,SUCCESS,260310,-z2ZVvLGQkOiz8pvb3F9aQ,
NeoKOM,1600025173559,3,86804,85264,260414,1.0,0,3,3,4,436,SUCCESS,260414,EkmPWHmVQXi1OHr6F1ojVQ,
mangopickle,1601269629158,3,86877,85726,260633,1.0,0,3,3,1,437,SUCCESS,260633,jTPj_C2VSB-XEg72wzNsWw,
trailanderror,1601403678264,3,86899,85951,260698,24.0,0,72,72,2,438,SUCCESS,260698,Uu5ZHJuPQ1yV_TKumZ_IYA,
DraculaTooth,1601354818487,3,86986,85406,260958,7.666666666666667,0,23,23,1,439,SUCCESS,260958,8ATiiQyLQfe6G0oUoCGtTA,
krishnaveni-DBS,1599645582379,3,87152,84774,261456,0.6666666666666666,0,2,2,1,440,SUCCESS,261456,P7SuShQQSWGBzi9XntAbhQ,
YawnEZ,1599592300262,3,87166,85636,261500,1.3333333333333333,0,4,4,4,441,SUCCESS,261500,lxl6EnBNRwarrrlWx1NX1A,
AYM,1599663292069,3,87168,83175,261504,17.333333333333332,0,52,52,12,442,SUCCESS,261504,v4gXfTS2SsCwtiWLw7P6jg,
monarch-racers,1601507849332,3,87216,84077,261648,1.0,0,3,3,1,443,SUCCESS,261648,3bgAriRXRp-Xk7JjhfoCpQ,
AnnaSchreiber-US,1600698970170,3,87265,83262,261796,18.333333333333332,0,55,55,1,444,SUCCESS,261796,ELz3lOsOQiGB6tcFdUEPcA,Accenture
Chipped-Beef,1599771341334,3,87366,82996,262099,1.0,0,3,3,1,445,SUCCESS,262099,BAiECZaFS0ysIca4en1dAw,
ko,1599987215306,3,87396,83938,262188,4.666666666666667,0,14,14,1,446,SUCCESS,262188,kBEjKviVRM6Q0u59nvSz7Q,
antiUgalUgalClub,1600355409546,3,87484,86050,262454,1.0,0,3,3,2,447,SUCCESS,262454,lcFWIUCNSGa8wfARKvXqOA,
loop,1599375274142,3,87509,85732,262529,0.0,0,0,0,29,448,SUCCESS,262529,QR2cG-Z-RIadX4m-rkdI0w,
TheRacers,1601482089246,3,87573,85318,262719,3.3333333333333335,0,10,10,1,449,SUCCESS,262719,7MjmICiGQHKM2HohC7uvWw,
JPMC-DriftKing-Houston,1601240932316,3,87620,79100,262861,21.666666666666668,0,65,65,12,450,SUCCESS,262861,fngewpiZSZm11yX7YgwnMA,
Aparna,1600091560622,3,87624,83531,262874,8.666666666666666,0,26,26,1,451,SUCCESS,262874,05iTQ0l6RveXOSSUX_N3UA,
BigDaddy35BRC,1600969090937,3,87631,86339,262893,1.3333333333333333,0,4,4,1,452,SUCCESS,262893,n3L9AzE4QjSZ5Aok3th88A,
gabad,1600601315964,3,87651,79546,262955,3.3333333333333335,0,10,10,3,453,SUCCESS,262955,yYBwfQnPRyGAoc7yYT7blw,
xujun,1599135368387,3,87731,86661,263194,1.0,0,3,3,4,454,SUCCESS,263194,4ha6E7pZR-OHK7-P1p0KUA,
BizIntegral,1599208858045,3,87924,85253,263773,1.0,0,3,3,20,455,SUCCESS,263773,4nUbIXTuTiqjYpxEpo0tNw,
ll,1600140181305,3,88004,85865,264014,2.3333333333333335,0,7,7,2,456,SUCCESS,264014,6MCnKZKyTQCgEu0iqAVOhw,
Wisdomv2,1601454383023,3,88086,87124,264259,24.0,0,72,72,1,457,SUCCESS,264259,9zEDeZ1TSHScit-zAtZ5QA,
smwu01,1599627774487,3,88153,86874,264461,0.0,0,0,0,4,458,SUCCESS,264461,0Vyggf-JS2C5580gIFCo7w,
BJTU,1601473459750,3,88211,87465,264634,1.0,0,3,3,1,459,SUCCESS,264634,JG0Ss6g0Rn6PqEoji9Ddqw,
dfsfsagv,1599163447092,3,88321,82798,264965,0.6666666666666666,0,1,2,2,460,SUCCESS,264965,ZUHYT-lETVe2tsx4-sc07w,
canabal,1599445279436,3,88442,87648,265327,3.3333333333333335,0,10,10,20,461,SUCCESS,265327,E9kc3HjXSs2FklfjdsOQ5w,
coolrace,1600584274043,3,88457,83004,265372,12.0,0,36,36,1,462,SUCCESS,265372,aQYu-doWS8KmA7t40-7vow,
neko,1600507154253,3,88596,84076,265790,0.6666666666666666,0,2,2,1,463,SUCCESS,265790,9-v3vBJeR3ydNLqn1puURg,
OrenNoe,1599525781115,3,88667,88260,266003,0.0,0,0,0,1,464,SUCCESS,266003,w2_gPX_jRfurDwNK-4GHHQ,
SubmissiontoDeepRacerLeague,1600137958140,3,88670,85270,266011,1.6666666666666667,0,5,5,4,465,SUCCESS,266011,E6G6WOjaRAy8tiC8TQA47w,
WeiHaoDBS,1598947346922,3,88704,84371,266114,18.666666666666668,0,56,56,1,466,SUCCESS,266114,yjNhDPN8T2KFUNYsxbwcDA,
Versus,1600898841366,3,88727,88048,266183,0.0,0,0,0,1,467,SUCCESS,266183,tNPvtTqiSXWclRMDSEAYYA,
xm4n,1601442073261,3,88734,83195,266204,7.333333333333333,0,22,22,6,468,SUCCESS,266204,ufkRKiXzQIGw_jq4R7CXNw,
sf-deepracer-133-rsch,1599163264877,3,88841,85456,266525,1.0,0,3,3,1,469,SUCCESS,266525,sDad53Z9RImOk4iWLXHSOQ,
yyyy,1600301969953,3,88851,87473,266553,1.3333333333333333,0,4,4,1,470,SUCCESS,266553,GTewljf_Sxut7w1M0tdMwg,
Theincredibleracingmachine,1600881984410,3,88888,86207,266666,0.0,0,0,0,2,471,SUCCESS,266666,zfdg_W1CRPaj8n7yWjf_DQ,
carpins,1601466605193,3,88920,86421,266760,8.333333333333334,0,25,25,4,472,SUCCESS,266760,ZXjQdOFgS-KsUKgQq1PfuA,
Kartik,1600083293855,3,88932,82890,266798,25.333333333333332,0,76,76,2,473,SUCCESS,266798,0GhKSKY_SQGv-nBPNRXQ0w,
Mahesh-DBS,1598960651817,3,88947,85337,266843,1.0,0,3,3,3,474,SUCCESS,266843,wAZsAEdnSbOj2vHN1s7n0w,
DigitalDeepracersMastery2020,1601319095568,3,89024,84719,267073,6.333333333333333,0,19,19,3,475,SUCCESS,267073,iKS4d5gxRVOtn0aELEQBYA,
HRFJ-CHILE,1601444068481,3,89025,86602,267077,1.0,0,3,3,4,476,SUCCESS,267077,pu5dbBSkRCyB4EK2qAEb-Q,
Shobana,1600141957687,3,89122,82416,267366,1.3333333333333333,0,4,4,2,477,SUCCESS,267366,SkXQoZ1kQH69nFvIDHaZrg,
JOURNEY,1601187425264,3,89142,85672,267428,2.0,0,6,6,1,478,SUCCESS,267428,3_CweaLuS7ieFXyKCDcC2Q,
panpan,1601134467317,3,89634,87491,268904,0.0,0,0,0,1,479,SUCCESS,268904,Fi7WQNw-T_WYvjj99wMi0w,
Nana,1599906294609,3,89644,87018,268932,10.666666666666666,0,32,32,13,480,SUCCESS,268932,W9kQDROQSoK5KA-IvjiHTg,
Chweekweh-DBS,1599454407618,3,89723,87529,269171,4.0,0,12,12,3,481,SUCCESS,269171,SeZvKCfaQDeBH3R5hiPdbg,
Bhumil-DBS,1599174348051,3,89821,87393,269463,1.0,0,3,3,2,482,SUCCESS,269463,2hxCo2AVT-G7Pu_eQ5b-2g,
AK3-Sung-v1,1601430099213,3,89831,87058,269494,24.666666666666668,0,74,74,6,483,SUCCESS,269494,71Yps8H2T1yjxO69rqaH5Q,
DiverseBuilders,1601506820202,3,89845,88605,269536,0.0,0,0,0,2,484,SUCCESS,269536,mzsAauu2QIGHXix1lInq-g,
PasuChung-DBS,1599874493467,3,89908,86122,269724,2.0,0,6,6,5,485,SUCCESS,269724,ZjPxLgH6Ri-5dHwnHsWnXA,
Spellbinder56,1600324865994,3,89927,89086,269781,3.0,0,9,9,1,486,SUCCESS,269781,REJa57jJR9WxpMp0CrJnDQ,
tobrien,1599759881349,3,90053,85432,270161,5.0,0,15,15,2,487,SUCCESS,270161,_YV0rfxbRtWdbzu7y-trIA,
Cloudy-With-a-Chance-of-DeepRacing,1600197345919,3,90170,81130,270511,20.0,0,60,60,1,488,SUCCESS,270511,uiubxVvrQse_4PdtW8X26g,
TeamML,1598929555202,3,90409,90103,271228,6.666666666666667,0,20,20,1,489,SUCCESS,271228,_BHtdYtmTZq3vLpw75lSEQ,
Bloomberg-INDG-Test-Race,1601398593864,3,90602,87536,271806,3.6666666666666665,0,11,11,1,490,SUCCESS,271806,aS2p4A9sTWyTvNcPmmVE0w,
