Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
group87,1601972432696,3,123152,111668,369456,7.666666666666667,0,23,23,3,1038,SUCCESS,369456
AaaRacer1,1603812498689,3,123317,118679,369951,17.666666666666668,0,53,53,3,1039,SUCCESS,369951
Group61,1601971459946,3,123387,121164,370163,8.333333333333334,0,25,25,2,1040,SUCCESS,370163
acc-deepracer,1603441411035,3,123401,114707,370204,4.0,0,12,12,1,1041,SUCCESS,370204
RheaLucas-Globe,1603172943659,3,123436,110139,370310,14.333333333333334,0,43,43,8,1042,SUCCESS,370310
Maniacinthemaking,1602002666413,3,123455,119465,370367,0.0,0,0,0,1,1043,SUCCESS,370367
TestModel1298,1603464001015,3,123462,115255,370388,7.666666666666667,0,23,23,5,1044,SUCCESS,370388
Group32,1602160974614,3,123586,108802,370760,14.333333333333334,0,43,43,5,1045,SUCCESS,370760
kurthgtfdkhvjh,1603057085180,3,123685,111898,371055,5.333333333333333,0,16,16,1,1046,SUCCESS,371055
rn-gokul,1603910422950,3,123744,101868,371232,6.666666666666667,0,20,20,5,1047,SUCCESS,371232
Group93-MisterBahu,1603107045153,3,123798,103265,371396,16.666666666666668,0,50,50,1,1048,SUCCESS,371396
Coconas,1603473198071,3,123899,116586,371699,4.666666666666667,0,14,14,1,1049,SUCCESS,371699
RSA-O,1603982435224,3,123920,108337,371762,7.666666666666667,0,23,23,2,1050,SUCCESS,371762
Know-Your-Car,1602027097729,3,124080,120380,372242,17.666666666666668,0,53,53,2,1051,SUCCESS,372242
Group8-,1602048340255,3,124111,120349,372333,7.666666666666667,0,23,23,1,1052,SUCCESS,372333
wayne,1601516836037,3,124117,108618,372353,16.0,0,48,48,2,1053,SUCCESS,372353
TheStigasaurus,1604039076984,3,124623,102054,373870,7.0,0,21,21,2,1054,SUCCESS,373870
Sonicracer,1601624530903,3,124965,102603,374895,5.666666666666667,0,17,17,3,1055,SUCCESS,374895
jampong,1603449371536,3,124997,113941,374993,4.333333333333333,0,11,13,2,1056,SUCCESS,374993
ValarMorghulis,1603547566697,3,125238,117936,375716,2.0,0,6,6,2,1057,SUCCESS,375716
Ckystal-DBSHK,1604138448240,3,125371,124195,376115,5.0,0,15,15,1,1058,SUCCESS,376115
mmajithia,1602241861171,3,125456,118535,376370,6.333333333333333,0,19,19,1,1059,SUCCESS,376370
group46-sup,1603303231578,3,125568,113424,376705,6.0,0,18,18,9,1060,SUCCESS,376705
PuttPuttRunsInThe90s,1602718026140,3,125577,107608,376731,18.666666666666668,0,56,56,8,1061,SUCCESS,376731
parm,1604082625312,3,125947,119067,377842,9.0,0,27,27,1,1062,SUCCESS,377842
Group126,1602162740869,3,126025,121130,378077,12.0,0,36,36,5,1063,SUCCESS,378077
YesOK,1602283530948,3,126122,119252,378367,15.333333333333334,0,46,46,61,1064,SUCCESS,378367
Josephnba1992,1604157719748,3,126136,120633,378409,3.3333333333333335,0,10,10,14,1065,SUCCESS,378409
H4,1603788624564,3,126389,116700,379168,18.666666666666668,0,56,56,10,1066,SUCCESS,379168
superover,1603290236179,3,126414,109934,379242,6.0,0,18,18,2,1067,SUCCESS,379242
PangZ,1603915559405,3,126527,121312,379581,15.0,0,45,45,1,1068,SUCCESS,379581
