Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Som-420,1603867388842,3,98872,88665,296617,3.0,0,9,9,6,679,SUCCESS,296617,hNa6DKlMSxSAsTDZazLbYA,
pravs,1603969642319,3,98881,91202,296645,1.0,0,3,3,2,680,SUCCESS,296645,rZsNXOmQR-eDiIat_oI1kg,
UDC,1602861634965,3,98953,96449,296861,3.3333333333333335,0,10,10,2,681,SUCCESS,296861,E7wkcnppSE2U3zSALNcyuA,
nidhi-deepracer,1603440686148,3,98955,91209,296867,2.3333333333333335,0,7,7,14,682,SUCCESS,296867,QQ8YaWoyS2Wb2Sh4Bk3MJQ,
Stratus,1604146588691,3,99043,92532,297131,2.0,0,6,6,4,683,SUCCESS,297131,uj8p5RJlRu6wgA4CiQZmRA,
deepracerrakesh,1603466529508,3,99199,90618,297597,1.3333333333333333,0,3,4,2,684,SUCCESS,297597,BF5RwY9tRhunRE8guzfnVg,
DA,1603896583218,3,99258,97570,297774,4.666666666666667,0,14,14,8,685,SUCCESS,297774,e-tdpn_BQ4ic3C9V1FKYgg,
CodeRider,1604145983585,3,99300,97344,297902,0.0,0,0,0,13,686,SUCCESS,297902,iilPsMzRQHKfbydNLAf8TQ,Moody's Racers
AsphaltBurner,1603914496397,3,99301,92658,297905,2.0,0,6,6,1,687,SUCCESS,297905,92738XFmTZqIEmXopWliQQ,
v1Tarantula,1603260911123,3,99302,96047,297906,0.6666666666666666,0,2,2,7,688,SUCCESS,297906,jcCD1vd5Rv-nFSHlcKAGDg,
qmaruf,1601990682719,3,99361,94840,298084,1.0,0,3,3,3,689,SUCCESS,298084,9Bbye25jQ9GfMrPCtHoWIA,
navdeep,1602344785834,3,99374,97389,298124,1.6666666666666667,0,5,5,2,690,SUCCESS,298124,OG9A_zrZSvihWnKVn9oZ0w,
Janeybop,1603579497842,3,99438,82041,298316,5.0,0,15,15,3,691,SUCCESS,298316,Z8vFG1INSBC4rEzQ5KX8Jg,
FTM,1603837184242,3,99516,98388,298550,1.3333333333333333,0,4,4,1,692,SUCCESS,298550,FzCiQI9yQLyW4DVXptdi5w,
Group1,1603265578528,3,99521,88074,298565,10.0,0,30,30,28,693,SUCCESS,298565,pmm0Hl1BSU60zcMKs4Au8A,
DORacer,1601921803012,3,99529,88158,298589,3.0,0,9,9,9,694,SUCCESS,298589,7zSRt24cTzaBYqPQs59D-w,
MadDog,1604003827790,3,99583,94530,298751,0.3333333333333333,0,1,1,4,695,SUCCESS,298751,5PLmfx3xTlCR5zoTWV-Fgg,
aaaasdaf,1603247305319,3,99608,86943,298825,3.0,0,9,9,2,696,SUCCESS,298825,wSIvORARTDe5uH8Ue-7R_A,
BoatEnderBoris,1601894615288,3,99811,93200,299435,2.3333333333333335,0,7,7,1,697,SUCCESS,299435,Ui0dRzCjT-6lTs7vOsoa3g,
APP,1603885468207,3,99866,98632,299598,10.333333333333334,0,31,31,5,698,SUCCESS,299598,G_U99BKeSq2vbOZ4QOVWbw,
dejavu,1601736062740,3,99877,94666,299633,0.6666666666666666,0,2,2,1,699,SUCCESS,299633,V9suDCM4TC-Pn9UyGapP0g,
IpNextGen,1601557256571,3,99891,86344,299673,2.3333333333333335,0,7,7,2,700,SUCCESS,299673,32IH8_uIRDG_0Mjoly2seg,
Wreck-It,1603219432673,3,100025,93931,300076,2.6666666666666665,0,8,8,2,701,SUCCESS,300076,NPwpkXHwTHe8ArHFBw4oNg,
JPMC-DTC-Fit-N-Run,1602972884528,3,100030,92919,300090,12.333333333333334,0,37,37,46,702,SUCCESS,300090,9zv888f5T8WGnzte_yhjyg,
Artist007,1601633968518,3,100101,90607,300305,4.333333333333333,0,13,13,1,703,SUCCESS,300305,fHMNTP6ZTKy-pnC63tqJyg,
MetOfficeDeepRacerCommunity,1601558152123,3,100123,97200,300369,8.333333333333334,0,25,25,1,704,SUCCESS,300369,f5ObNP_jRGKpy8xUMn9nZQ,
