Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Test1-2,1601456174932,3,49213,44654,147640,1.6666666666666667,4,1,5,52,28,SUCCESS,147640,-gS_xaU_Rb6RiQhrUSyXLw,
Cindy-DBS,1600748694357,3,49512,45271,148536,2.6666666666666665,8,0,8,5,29,SUCCESS,148536,dkX_mR9zSYy9c2CprpaycQ,DBS
MING-CHUN,1599706508936,3,50276,47184,150829,0.6666666666666666,2,0,2,2,30,SUCCESS,150829,qoQoafc4RhGMzWx_fwBp4w,
kawatakzk-practice-01,1601357600405,3,50316,44861,150950,1.0,3,0,3,131,31,SUCCESS,150950,jy5_7zoaRh68o3X6mU1YwQ,
JPMC-LONDON-HandsFree,1601476313059,3,50419,39939,151257,5.0,7,8,15,58,32,SUCCESS,151257,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
KevinS,1600869820387,3,51190,44712,153571,3.0,8,1,9,2,33,SUCCESS,153571,hQPnx_a6SEaUvBUoWvta1g,
asada-SEC,1601472808509,3,51624,51290,154872,2.0,5,1,6,28,34,SUCCESS,154872,YR8i__H-RvmWIn8NY-77qQ,
Kire,1599243611686,3,51684,41450,155054,2.6666666666666665,5,3,8,185,35,SUCCESS,155054,N0y9CR6fQN-a4UlAFsTC5Q,
DBro,1600951870176,3,51941,47347,155824,1.6666666666666667,4,1,5,4,36,SUCCESS,155824,jEkEOpjZRhGUbyDZIfTo_A,
Test01-azusawa-001,1600269749565,3,52141,46490,156424,1.0,1,2,3,11,37,SUCCESS,156424,K7SYNhpPQ8iv3rEF8xRXAA,
MATCHA2020,1601357090891,3,52620,46446,157860,2.0,4,2,6,56,38,SUCCESS,157860,iQeswZgPS0GLgk56aUjyxg,
test-race01,1601428370741,3,52712,41469,158136,2.0,5,1,6,31,39,SUCCESS,158136,5FdlIEplTAW6oCVTei3Ucg,
hattori-SEC,1601468505452,3,53237,42244,159712,2.0,4,2,6,9,40,SUCCESS,159712,6unKhC3jS0WgPeB_Yq48XQ,
sasagawa-SEC,1599201240076,3,55372,52175,166118,4.666666666666667,10,4,14,2,41,SUCCESS,166118,8uYX242TT1K7GIN0avI0Ww,
Tabataku,1599519938679,3,55859,49668,167579,2.6666666666666665,5,3,8,25,42,SUCCESS,167579,umwfRQ3kRk-4uyu-bhCK5Q,
kimwooglae,1600492780739,3,57354,53533,172062,2.6666666666666665,7,1,8,2634,43,SUCCESS,172062,bOqKo-ebR_essdUaZVGO4Q,
mani-20200420-01,1601381573957,3,57728,54406,173184,2.6666666666666665,5,3,8,52,44,SUCCESS,173184,S5e9cN8TToirZukteMlSYQ,
Adam-H,1599337246022,3,57970,55406,173912,1.3333333333333333,4,0,4,9,45,SUCCESS,173912,63LM4ZOGRmyM9GjZ-IVJgg,
MIS3B-1,1601482911806,3,58169,49793,174508,1.6666666666666667,4,1,5,170,46,SUCCESS,174508,YJPvbNOBRCGZzNevBDuYZw,
My-First-League-racer,1601455673875,3,58489,50190,175468,2.6666666666666665,3,5,8,59,47,SUCCESS,175468,0AXsUxXcTC2UHAomSjZj-Q,
AM730,1599655098636,3,60430,52335,181291,3.3333333333333335,2,8,10,86,48,SUCCESS,181291,BVyCq7XIT-ObuDsJfFVtDA,
nbz,1601155213309,3,61324,57709,183973,4.666666666666667,9,5,14,148,49,SUCCESS,183973,8FY8Uq37SymGhEe9E3CkLw,
RunBabyRun,1599323231279,3,61415,48946,184245,3.3333333333333335,8,2,10,14,50,SUCCESS,184245,doD1-J-eSrOBOrxWtvFiHg,
ThumbOrDummy,1599094734649,3,62557,58533,187672,3.6666666666666665,8,3,11,1,51,SUCCESS,187672,L7orLEvTSzijkDNUfdH9qw,
OscarIVECloud-dr,1599407409072,3,62567,54082,187703,5.666666666666667,6,11,17,18,52,SUCCESS,187703,XHLKURnAQcmC56tomfZoWA,
Merfoulis,1601486360311,3,62868,53927,188606,2.6666666666666665,5,3,8,8,53,SUCCESS,188606,ZXo038NgQoikG6lL_A5fVQ,
team-ichibanshibori,1601470610886,3,64399,52336,193198,4.333333333333333,9,4,13,32,54,SUCCESS,193198,koyOYIRATNu8iooLnEjxLA,
KikakuTeamA,1601445174373,3,66001,56148,198004,5.0,9,6,15,18,55,SUCCESS,198004,ASI-IlYTSBekRgnJljV91g,
fuchida-MAINICHI,1601481696150,3,66233,40025,198701,7.666666666666667,7,16,23,74,56,SUCCESS,198701,HGiJghg0TqyXmMhVedqfRw,
WhatDuhHec,1601315395339,3,66689,52864,200067,4.333333333333333,6,7,13,2,57,SUCCESS,200067,zXGWRUFkTbCBXdu0DW6aoA,
nalbam-me,1600130824294,3,66845,56597,200537,5.666666666666667,14,3,17,1333,58,SUCCESS,200537,PnRru4vBRkeyT4xX6LOCtw,
CloudCreative,1599059299658,3,67545,58136,202635,6.666666666666667,6,14,20,33,59,SUCCESS,202635,3SWFSIaTQ5KQW_w4jiMf8Q,
ishizaki-SEC,1598954280711,3,69420,56457,208261,7.333333333333333,7,15,22,2,60,SUCCESS,208261,lx4A5fhAS-iaN5bF3Qf8Gw,
zl-ong,1598945772192,3,70892,58929,212676,5.0,9,6,15,1,61,SUCCESS,212676,7xYEHuYgRF23w5my1rlt4g,
hashimoto-SEC,1600840389979,3,71861,58227,215584,6.333333333333333,13,6,19,17,62,SUCCESS,215584,X8nK10cyQA2RN9uHOUe-Ww,
matsumoto-SEC,1601382476293,3,72660,65516,217981,5.333333333333333,12,4,16,2,63,SUCCESS,217981,XzusqFpnRvyHjaOvVBkKqg,
Galileo,1600772672564,3,74327,68742,222981,6.0,14,4,18,5,64,SUCCESS,222981,Y79AzaaOR-u4LVKMxu1Mdw,
